Graph Mode,N Epochs,First Train RMSE,Last Train RMSE,First Val RMSE,Last Val RMSE,Train Pattern (last epochs),Val Pattern (last epochs)
attention_cellfeat_e50,50,0.9377,0.5459,0.9554,0.5502,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
union_cellfeat_e50,50,0.9379,0.5444,0.9577,0.5485,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
intersection_cellfeat_e50,50,0.9348,0.5557,0.9502,0.5579,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
spatial_cellfeat_e50,50,0.9368,0.5495,0.9544,0.5491,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
feature_cellfeat_e50,50,0.9379,0.5445,0.9573,0.5485,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
attention_cellfeat_e200,200,0.9384,0.3622,0.9502,0.3567,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
union_cellfeat_e200,200,0.938,0.3634,0.9507,0.3613,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
intersection_cellfeat_e200,200,0.9358,0.3606,0.9389,0.36,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
spatial_cellfeat_e200,200,0.9378,0.3541,0.947,0.3501,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
feature_cellfeat_e200,200,0.938,0.3641,0.9512,0.3627,plateaued (val RMSE roughly flat),plateaued (val RMSE roughly flat)
